iteration,epoch,wd,gradient_penality,wd_loss,generator_loss
65,34000,-15.861839294433594,3.9542768001556396,-11.907562255859375,59.74501037597656
67,35000,-18.95016860961914,3.7481980323791504,-15.201971054077148,73.67988586425781
69,36000,-12.1240234375,4.20755672454834,-7.91646671295166,62.96303939819336
71,37000,-1.9775047302246094,4.009947776794434,2.032443046569824,61.37464904785156
73,38000,-12.389617919921875,3.9036731719970703,-8.485944747924805,57.299041748046875
75,39000,-16.139549255371094,3.9537949562072754,-12.185754776000977,65.43134307861328
77,40000,-6.432090759277344,3.692789316177368,-2.7393014430999756,75.35719299316406
79,41000,-14.898937225341797,3.9664525985717773,-10.93248462677002,74.1723403930664
81,42000,-10.966049194335938,3.680413007736206,-7.285635948181152,75.84526824951172
83,43000,-14.258430480957031,3.753051996231079,-10.505378723144531,80.26947021484375
85,44000,-4.360225677490234,4.267703056335449,-0.09252262115478516,66.40107727050781
87,45000,-0.9342918395996094,4.348833084106445,3.414541244506836,68.51224517822266
89,46000,-7.5407562255859375,3.943697929382324,-3.5970582962036133,84.08467102050781
91,47000,-11.2242431640625,3.8346242904663086,-7.389618873596191,88.90353393554688
93,48000,-19.733844757080078,3.874054431915283,-15.859790802001953,81.71566772460938
94,49000,-2.271453857421875,3.921779155731201,1.6503252983093262,65.81912231445312
96,50000,-10.967971801757812,3.613285541534424,-7.354686260223389,70.74433898925781
98,51000,-21.365318298339844,3.8104546070098877,-17.55486297607422,77.43833923339844
100,52000,-1.6996307373046875,3.9945313930511475,2.29490065574646,86.9692611694336
102,53000,-11.058097839355469,4.132291793823242,-6.925806045532227,76.05514526367188
104,54000,-2.1997756958007812,3.8192172050476074,1.6194415092468262,78.36766052246094
106,55000,1.4930572509765625,3.873800754547119,5.366858005523682,86.60659790039062
108,56000,-7.753593444824219,3.9405770301818848,-3.813016414642334,84.3509750366211
110,57000,-8.593666076660156,4.766282081604004,-3.8273839950561523,84.14456176757812
112,58000,-8.073707580566406,3.9445292949676514,-4.129178047180176,92.67507934570312
114,59000,-15.837348937988281,4.203435897827148,-11.633913040161133,82.72767639160156
116,60000,-10.502571105957031,4.59120512008667,-5.911365985870361,79.29708862304688
118,61000,-15.211990356445312,3.993016242980957,-11.218974113464355,91.62075805664062
120,62000,-12.854644775390625,4.755654335021973,-8.098990440368652,83.70197296142578
122,63000,-20.43792724609375,4.4322686195373535,-16.005659103393555,100.03877258300781
124,64000,-7.22271728515625,4.812011241912842,-2.410706043243408,97.55701446533203
125,65000,-7.412406921386719,4.663068771362305,-2.749338150024414,83.63517761230469
127,66000,-7.537544250488281,4.16588830947876,-3.3716559410095215,99.90654754638672
129,67000,-21.54205322265625,4.612362861633301,-16.929691314697266,100.73117065429688
131,68000,-19.139564514160156,4.848504543304443,-14.291059494018555,91.19622802734375
133,69000,-14.760116577148438,4.665984153747559,-10.094132423400879,96.40373229980469
135,70000,-2.3255615234375,4.702564716339111,2.3770031929016113,95.8563232421875
137,71000,-15.571708679199219,5.122409343719482,-10.449298858642578,95.14264678955078
139,72000,-9.351295471191406,5.067989349365234,-4.283306121826172,96.72478485107422
141,73000,-14.088531494140625,4.98141622543335,-9.107114791870117,94.78274536132812
143,74000,-9.675926208496094,5.329239368438721,-4.346686840057373,108.69107055664062
145,75000,-9.050697326660156,5.1269941329956055,-3.923703193664551,99.32046508789062
147,76000,-10.817474365234375,5.235273361206055,-5.58220100402832,105.38313293457031
149,77000,-11.350448608398438,4.793486595153809,-6.556962013244629,105.49076080322266
151,78000,-2.2684783935546875,4.866806983947754,2.5983285903930664,106.00813293457031
153,79000,-21.228118896484375,5.141711711883545,-16.086406707763672,116.8575439453125
